Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
7936507936.5079365,9.324889035575614e-23,2.105869810639069e-23,1.0067319279583391e-22
8771197762.50514,1.138850739000168e-22,2.5718965284798924e-23,1.2295242121602216e-22
9693672683.810871,1.390865169466725e-22,3.1410177522842666e-23,1.5016040529185716e-22
10713165139.492088,1.6986252600441362e-22,3.8360249548686683e-23,1.8338681959246988e-22
11839878552.708494,2.074452760688121e-22,4.6847418236774587e-23,2.2396195551925924e-22
13085089450.001017,2.5333890511589527e-22,5.721132589395307e-23,2.7350972633179405e-22
14461260320.559595,3.093793715624597e-22,6.986653250280984e-23,3.340122928115941e-22
15982164345.003782,3.7780741119350176e-22,8.53189838511825e-23,4.078888324157045e-22
17663023242.00371,4.613574269302495e-22,1.0418607436687708e-22,4.980915113471844e-22
19520659612.356747,5.633657426847927e-22,1.2722107803464978e-22,6.082223646481613e-22
21573665305.23052,6.879023698415051e-22,1.5534288209689962e-22,7.426755641194111e-22
23842587491.63836,8.399312924399335e-22,1.8967215094310707e-22,9.068104801039833e-22
26350134307.432922,1.0255052979697045e-21,2.315752767571091e-22,1.1071620458945417e-21
29121402123.962257,1.2520025896893074e-21,2.8271774455065314e-22,1.3516962396583883e-21
32184126720.989487,1.528413839354294e-21,3.451288577390758e-22,1.650120036295411e-21
35568960875.69892,1.8656900014894825e-21,4.2128014176516843e-22,2.0142569780292938e-21
39309781145.99297,2.277162576618694e-21,5.1418004125181365e-22,2.4585009922794318e-21
43444026918.46985,2.7790448462704787e-21,6.2748675694867e-22,3.000357692980858e-21
48013075114.388466,3.3910533733289904e-21,7.65648250880354e-22,3.661115518877145e-21
53062654303.803734,4.137138044050919e-21,9.340664480498608e-22,4.4666341953088694e-21
58643302372.46548,5.046372399754356e-21,1.1392974856319932e-21,5.4483063146684846e-21
64810872321.96549,6.154001079021693e-21,1.3892869487079176e-21,6.644188755260866e-21
71627091265.35017,7.502708285242887e-21,1.6936546491354366e-21,8.100372887873332e-21
79160178212.81526,9.14409830864129e-21,2.064026394352953e-21,9.87258411866978e-21
87485526830.48892,1.114025544439061e-20,2.514380992463898e-21,1.2027868343493275e-20
96686460005.58311,1.3564459184618453e-20,3.0611951749292783e-21,1.4645371435441222e-20
106855063769.85469,1.650304282409834e-20,3.723851718466873e-21,1.781835097603818e-20
118093108927.5622,2.0057599952136707e-20,4.525123718966311e-21,2.165656464003879e-20
130513069611.8814,2.4347401447741385e-20,5.4917007116632636e-21,2.6288888366111496e-20
144239248963.83386,2.9513193581758345e-20,6.6550307946950114e-21,3.186742377686237e-20
159409023199.90213,3.57205161067776e-20,8.052039290169466e-21,3.8571094044174386e-20
176174216519.37805,4.316529313991364e-20,9.726368666697014e-21,4.6611689959183985e-20
194702620611.97897,5.2078668796198306e-20,1.1729425894876886e-20,5.623911037658088e-20
215179673973.47534,6.273359883641598e-20,1.4121824097656634e-20,6.774849949557671e-20
237810317836.4843,7.54527859876418e-20,1.6975117452447096e-20,8.148883931081452e-20
262821047291.20883,9.061898193518393e-20,2.0374065503207314e-20,9.787409939356514e-20
290462178124.42847,1.0866913850789577e-19,2.4415079036559612e-20,1.1737702578608118e-19
321010352064.027,1.3004140894699987e-19,2.919357334800899e-20,1.4047222307000803e-19
354771305502.3876,1.554455981236218e-19,3.4867123950959117e-20,1.6792721584157829e-19
392082929408.9697,1.8548636808574267e-19,4.15668271174296e-20,2.0039722653456615e-19
433318651056.70026,2.211524287951363e-19,4.951152536670585e-20,2.389516526078706e-19
478891171407.6349,2.6328313179618955e-19,5.888248588596228e-20,2.845003456878218e-19
529256595562.8981,3.1323918681634213e-19,6.997976897938383e-20,3.3851555842489284e-19
584918997615.8396,3.721776706972155e-19,8.305214140858196e-20,4.0225204949701525e-19
646435465594.9852,4.420276317865617e-19,9.8524217389008e-20,4.777973425360396e-19
714421676988.2683,5.243590732821641e-19,1.1673153906250082e-19,5.668548696082659e-19
789558060650.2687,6.218776025397269e-19,1.382681987256196e-19,6.723531540674543e-19
872596606762.8851,7.367584528353574e-19,1.6359729640347338e-19,7.966530888759228e-19
964368393005.8331,8.72566626126284e-19,1.9349624057576322e-19,9.436157858402088e-19
1065791902261.3931,1.0322805247920597e-18,2.2859601314408766e-19,1.1164752369288636e-18
1177882215099.8142,1.220920985272198e-18,2.6998930011591125e-19,1.32067028176374e-18
1301761169046.84,1.4425456876147665e-18,3.185311700869796e-19,1.5606088291902072e-18
1438668586310.7239,1.7038602348244114e-18,3.7567197709036795e-19,1.84355873181547e-18
1589974682339.6177,2.0102468536941083e-18,4.425364798930384e-19,2.175370949145382e-18
1757193779398.3108,2.3708025122227377e-18,5.210825230007469e-19,2.5659095247484516e-18
1941999462414.4475,2.7927067122361476e-18,6.127989413647661e-19,3.022984318830213e-18
2146241328778.9902,3.2882698624379898e-18,7.203215029647029e-19,3.559949838829869e-18
2371963499738.5737,3.867062430945263e-18,8.456196746360541e-19,4.187223568775911e-18
2621425078648.0073,4.545611953054508e-18,9.922112627319915e-19,4.922744072501033e-18
2897122760835.9434,5.336683763924935e-18,1.1627039279352032e-18,5.780414995273823e-18
3201815821370.9136,6.262535738978937e-18,1.3618089216644102e-18,6.784406089589215e-18
3538553730813.6284,7.340259528947357e-18,1.5929954868777828e-18,7.953342932437667e-18
3910706675343.304,8.59953724562241e-18,1.8625054411071858e-18,9.31947535827291e-18
4321999286713.7256,1.0062149488695233e-17,2.174698349691073e-18,1.0906565940197222e-17
4776547919619.7,1.1766450147593893e-17,2.5375566573892838e-18,1.2756323225643502e-17
5278901849558.427,1.3740432960743136e-17,2.956613267397543e-18,1.489931944979753e-17
5834088803507.724,1.6033949095266305e-17,3.442141733950447e-18,1.738981116046703e-17
6447665279107.486,1.8682361125832895e-17,4.0010218824917585e-18,2.0266466710163926e-17
7125772155955.701,2.1749864705684312e-17,4.64633451727879e-18,2.3599220771227475e-17
7875196155595.446,2.5280558848531093e-17,5.386501683169333e-18,2.7436364616867478e-17
