Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
5164179104.477612,4.227680272035453e-27,4.227680272035453e-27,1.7829408912155047e-21
5707300562.002598,5.1636737540627716e-27,5.1636737540627716e-27,2.177677696266734e-21
6307542601.842071,6.306888554015813e-27,6.306888554015813e-27,2.659806003784798e-21
6970912648.079061,7.703200022355658e-27,7.703200022355658e-27,3.2486728359029612e-21
7704049931.102679,9.408638817026119e-27,9.408638817026119e-27,3.967908014173766e-21
8514291935.257378,1.14916386461038e-26,1.14916386461038e-26,4.846372100115823e-21
9409747834.85248,1.4035781383298014e-26,1.4035781383298014e-26,5.919314092686572e-21
10399379653.504251,1.714314955379986e-26,1.714314955379986e-26,7.229785271839857e-21
11493091959.080505,2.093842048836227e-26,2.093842048836227e-26,8.830365825482514e-21
12701830991.944845,2.5573866100620495e-26,2.5573866100620495e-26,1.0785273404378205e-20
14037694218.609396,3.1235458432296966e-26,3.1235458432296966e-26,1.3172938011704081e-20
15514051407.24576,3.815032526476483e-26,3.815032526476483e-26,1.6089146254818226e-20
17145678436.81859,4.6595853955939465e-26,4.6595853955939465e-26,1.9650880701175145e-20
18948905179.048634,5.691080734819382e-26,5.691080734819382e-26,2.400100778208857e-20
20941778933.257576,6.950889568271004e-26,6.950889568271004e-26,2.931400146384195e-20
23144245049.805527,8.489534607904182e-26,8.489534607904182e-26,3.580293107571972e-20
25578346549.86134,1.036871289327818e-25,1.036871289327818e-25,4.372799136020536e-20
28268444739.367332,1.2663763429101524e-25,1.2663763429101524e-25,5.3406909190328045e-20
31241463025.177303,1.5466682660373002e-25,1.5466682660373002e-25,6.522766068432153e-20
34527156373.5616,1.8889800718089829e-25,1.8889800718089829e-25,7.966397493982986e-20
38158409107.91052,2.307027091331393e-25,2.307027091331393e-25,9.729426745708178e-20
42171564026.095634,2.8175542839149097e-25,2.8175542839149097e-25,1.188247216554469e-19
46606786131.40606,3.4410044325372705e-25,3.4410044325372705e-25,1.4511746842601457e-19
51508464617.401405,4.202332423728707e-25,4.202332423728707e-25,1.7722492636152586e-19
56925657129.88052,5.131994478055751e-25,5.131994478055751e-25,2.164315197578735e-19
62912580752.28957,6.26713058949276e-25,6.26713058949276e-25,2.6430354305328976e-19
69529154628.51619,7.65302857423647e-25,7.65302857423647e-25,3.2275090235022814e-19
76841599653.8209,9.344906254728551e-25,9.344906254728551e-25,3.941022732740682e-19
84923101235.81464,1.1410083958238631e-24,1.1410083958238631e-24,4.811967186569515e-19
93854541758.61642,1.3930648540311936e-24,1.3930648540311936e-24,5.874960358749637e-19
103725310080.93929,1.700668103363947e-24,1.700668103363947e-24,7.172208715858143e-19
114634196169.83292,2.0760222697660084e-24,2.0760222697660084e-24,8.755179780945802e-19
126690379823.87814,2.5340075856122965e-24,2.5340075856122965e-24,1.0686626717567246e-18
140014523381.30792,3.0927673604983415e-24,3.0927673604983415e-24,1.3043063681071672e-18
154739979349.24432,3.7744238938704566e-24,3.7744238938704566e-24,1.591778493882815e-18
171014125040.41104,4.605953172741431e-24,4.605953172741431e-24,1.942455362001661e-18
188999837574.81467,5.6202134347771926e-24,5.6202134347771926e-24,2.3701939092319546e-18
208877124008.70624,6.857104628253984e-24,6.857104628253984e-24,2.8918205668432536e-18
230844922905.70282,8.365681041842559e-24,8.365681041842559e-24,3.5280225380854055e-18
255123095380.79767,1.020523434039526e-23,1.020523434039526e-23,4.303803991586025e-18
281954625544.29706,1.2448695028705285e-23,1.2448695028705285e-23,5.249921130153911e-18
311608052368.46643,1.5184190051018866e-23,1.5184190051018866e-23,6.403538315766573e-18
344380157315.8224,1.8520125685692475e-23,1.8520125685692475e-23,7.810372418768396e-18
380598934627.7633,2.258748646017619e-23,2.258748646017619e-23,9.525661329379513e-18
420626874001.1787,2.754755700706926e-23,2.754755700706926e-23,1.1617421535449402e-17
464864588507.1723,3.359499546256092e-23,3.359499546256092e-23,1.416774272329364e-17
513754824061.3301,4.096973619223048e-23,4.096973619223048e-23,1.727780908426797e-17
567786890573.6528,4.996120458792659e-23,4.996120458792659e-23,2.106967458118632e-17
627501559126.6014,6.092592155976553e-23,6.092592155976553e-23,2.5693689181898957e-17
693496474193.8461,7.4294250690843e-23,7.4294250690843e-23,3.1331341703894665e-17
766432135067.0374,9.059672606319726e-23,9.059672606319726e-23,3.820636554776563e-17
847038506354.7169,1.1047342345044282e-22,1.1047342345044282e-22,4.6588686777198373e-17
936122323713.4674,1.3471307056215251e-22,1.3471307056215251e-22,5.681092143305292e-17
1034575167929.522,1.642675928625741e-22,1.642675928625741e-22,6.927450454199269e-17
