Association,Fermi Name,CGRABS Name,Class,dec,RA,Redshift,Fermi-LAT Flux,Disk Luminosity,BLR Radius,Muon Neutrino Flux Best Fit,Muon Neutrino Flux Min,Muon Neutrino Flux Max,IceCube Event Rate Best Fit,IceCube Event Rate Min,IceCube Event Rate Max,Neutrino Peak Energy Best Fit,Blob Radius Best Fit,B-Field Best Fit,Bulk Lorentz Best Fit,Dissipation Radius Best Fit,Electron Luminosity Best Fit,Electron Max Lorentz Factor Best Fit,Electron Min Lorentz Factor Best Fit,Electron Spectral Index Best Fit,Proton Luminosity Best Fit,Proton Luminosity Min,Proton Luminosity Max,Proton Max Lorentz Factor Best Fit,Proton Min Lorentz Factor Fixed,Proton Spectral Index Fixed
PKS 0250-225,3FGL J2036.8-2830,CGRABS J0252-2219,FSRQ,-22.3202991485596,43.2006988525391,1.43,5.0513877802860195e-11,1.5135612484362073e+46,3.857096976833989e+17,0.0,0.0,2.6180155764360762e-15,0.0,0.0,0.00012780680517643982,0.6432634398411925,2.55e+16,0.168,17.5,1.2e+18,1.2e+43,88300.0,453.0,2.58,0.0,0.0,1.600225718595989e+45,0.0,0,1.0
PKS 2320-035,3FGL J2036.8-2830,CGRABS J2323-0317,FSRQ,-3.28999996185303,350.888397216797,1.39,4.4610072580386596e-11,1.5135612484362073e+46,3.857096976833989e+17,0.0,0.0,2.5388699213667873e-15,0.0,0.0,0.00012481510928136083,0.7145534889063417,3.69e+16,0.379,17.3,1.1e+18,1.5e+43,83800.0,14.2,2.25,0.0,0.0,8.435119877855237e+44,0.0,0,1.0
PKS 0130-17,3FGL J2036.8-2830,CGRABS J0132-1654,FSRQ,-16.9102993011475,23.1760005950928,1.02,2.17269813251875e-11,1e+46,3.147391133096535e+17,0.0,0.0,2.5039708288110184e-15,0.0,0.0,0.00016156766888837518,0.39310402013740675,1.78e+17,0.3,8.89,7.37e+17,4.89e+43,22600.0,330.0,2.02,0.0,0.0,4.889999999999999e+45,0.0,0,1.0
PKS B1149-084,3FGL J2036.8-2830,CGRABS J1152-0841,FSRQ,-8.66629981994629,178.080795288086,2.37,1.00866199073679e-11,1.8197008586099751e+46,4.2273782866100525e+17,0.0,0.0,1.7177491595296481e-15,0.0,0.0,0.0001162006968104075,0.4230861057914486,9.57e+16,0.296,10.7,8.13e+17,4.92e+43,25900.0,421.0,1.52,0.0,0.0,8.7491346973915e+45,0.0,0,1.0
PMN J1344-1723,3FGL J2036.8-2830,CGRABS J1344-1723,FSRQ,-17.3978004455566,206.060104370117,2.49,1.7616694561462e-11,1.0964781961431829e+46,3.3016750121698944e+17,0.0,0.0,1.0129915358628374e-15,0.0,0.0,4.868395750932098e-05,0.8514405360129919,1.26e+16,0.41,22.3,6.72e+17,6.23e+42,16100.0,100.0,1.46,0.0,0.0,7.731042249483212e+44,0.0,0,1.0
B2 1504+37,3FGL J2036.8-2830,CGRABS J1506+3730,FSRQ,37.5182991027832,226.534698486328,0.67,2.7822154302636897e-11,1.9952623149688665e+44,4.319948614054068e+16,0.0,0.0,6.178509948554651e-16,0.0,0.0,1.0957853129379059e-05,1.627753293466367,1.56e+17,0.226,20.4,7.51e+16,2.06e+42,6180.0,29.7,2.45,0.0,0.0,1.7838865061217348e+42,0.0,0,1.0
PKS B1921-293,3FGL J2036.8-2830,CGRABS J1924-2914,FSRQ,-29.2467994689941,291.213592529297,0.35,2.4860002945104e-11,1e+45,9.874168260695013e+16,0.0,0.0,6.144066838553809e-16,0.0,0.0,2.1377537669296034e-05,1.1049428000929282,1.03e+17,1.02,16.7,2.73e+17,1.88e+42,7140000.0,11.8,2.52,0.0,0.0,6.86527359239095e+43,0.0,0,1.0
PKS 1741-03,3FGL J2036.8-2830,CGRABS J1743-0350,FSRQ,-3.8891000747680704,266.052185058594,1.06,5.33247621406496e-12,3.0199517204019943e+46,5.461649319196928e+17,0.0,0.0,5.638209495015802e-16,0.0,0.0,2.3878832693583415e-05,0.8411851617473923,5.24e+16,0.921,19.4,2.07e+18,4.41e+42,2190000.0,10.4,2.54,0.0,0.0,1.610417901193835e+44,0.0,0,1.0
3C 454.3,3FGL J2036.8-2830,CGRABS J2253+1608,FSRQ,16.1506004333496,343.496307373047,0.86,1.1148474365896302e-09,1.9952623149688665e+46,4.443375717312755e+17,0.0,0.0,5.105548704493856e-16,0.0,0.0,2.491389841056388e-05,0.7059297491418506,7.58e+16,0.279,14.7,1.05e+18,9.62e+43,10800.0,444.0,1.81,0.0,0.0,1.5919340501453402e+43,0.0,0,1.0
B2 1520+31,3FGL J2036.8-2830,CGRABS J1522+3144,FSRQ,31.7395000457764,230.545394897461,1.49,1.58134436101243e-10,7.943282347242789e+45,2.807966599135144e+17,0.0,0.0,3.9561090340043633e-16,0.0,0.0,1.4467386458307827e-05,0.9649615897211526,1.54e+16,0.149,26.9,9.79e+17,6.05e+42,52000.0,549.0,2.69,0.0,0.0,1.6567438787299384e+44,0.0,0,1.0
PKS 0440-00,3FGL J2036.8-2830,CGRABS J0442-0017,FSRQ,-0.296099990606308,70.6612014770508,0.84,4.7925885482413794e-11,7.943282347242789e+45,2.807966599135144e+17,0.0,0.0,3.9357103006237426e-16,0.0,0.0,1.3774481851082257e-05,1.1502702749805707,2.26e+16,0.322,19.4,8.91e+17,4.91e+42,246000.0,190.0,2.81,0.0,0.0,8.73135190329111e+43,0.0,0,1.0
NRAO 512,3FGL J2036.8-2830,CGRABS J1640+3946,FSRQ,39.7625999450684,250.119003295898,1.66,3.00281605136732e-11,1.9952623149688665e+46,4.443375717312755e+17,0.0,0.0,3.09752992079217e-16,0.0,0.0,1.061219177357865e-05,1.1196879399431057,1.5e+16,0.343,27.3,1.48e+18,3.12e+42,679000.0,384.0,2.93,0.0,0.0,1.0602409986300783e+44,0.0,0,1.0
PKS 0454-234,3FGL J2036.8-2830,CGRABS J0457-2324,FSRQ,-23.4148998260498,74.2608032226563,1.0,2.03494998629594e-10,3.715352290971728e+45,1.9131201005096586e+17,0.0,0.0,3.025425255734464e-16,0.0,0.0,1.1434371950531518e-05,1.1400720024395057,3.61e+16,0.331,20.9,5.18e+17,6.54e+42,24800.0,286.0,2.15,0.0,0.0,1.1629947341654555e+44,0.0,0,1.0
S4 1851+48,3FGL J2036.8-2830,CGRABS J1852+4855,FSRQ,48.935001373291,283.115997314453,1.25,1.5002549549891798e-11,1e+45,9.874168260695013e+16,0.0,0.0,2.479200046244515e-16,0.0,0.0,1.0487238362527048e-05,1.0008732287908775,2.81e+16,0.338,16.9,3.51e+17,3.69e+42,38500.0,188.0,2.06,0.0,0.0,3.96530288650566e+44,0.0,0,1.0
RX J0011.5+0058,3FGL J2036.8-2830,CGRABS J0011+0057,FSRQ,0.964600026607513,2.85509991645813,1.49,5.85535916627911e-12,3.019951720401995e+45,1.7279794456216272e+17,0.0,0.0,1.7769752672978016e-16,0.0,0.0,8.625846097618977e-06,0.6858565616410267,3.64e+16,0.325,17.3,6e+17,4.55e+42,16200.0,313.0,2.78,0.0,0.0,3.666581954314742e+44,0.0,0,1.0
PKS 0446+11,3FGL J2036.8-2830,CGRABS J0449+1121,FSRQ,11.3569002151489,72.2823028564453,2.15,3.3069904453730795e-11,3.4673685045253095e+46,5.893644180602336e+17,0.0,0.0,1.6590060343524806e-16,0.0,0.0,1.2128152982862577e-05,0.3180593819421566,2e+17,0.212,13.7,1.92e+18,5e+43,21300.0,11.9,1.8,0.0,0.0,6.667607160816619e+44,0.0,0,1.0
PKS 1622-253,3FGL J2036.8-2830,CGRABS J1625-2527,FSRQ,-25.4650001525879,246.445297241211,0.79,5.2931069249861893e-11,5.4954087385762707e+45,2.3451149619150653e+17,0.0,0.0,1.1306542568376988e-16,0.0,0.0,5.47961733188334e-06,0.6288457342154855,6.11e+16,0.314,18.8,7.94e+17,5.16e+42,25900.0,14.3,2.19,0.0,0.0,3.8694541201554716e+43,0.0,0,1.0
PKS 1502+106,3FGL J2036.8-2830,CGRABS J1504+1029,FSRQ,10.4977998733521,226.103302001953,1.83,1.897477452939e-10,1.5135612484362073e+46,3.857096976833989e+17,0.0,0.0,9.557361707057109e-17,0.0,0.0,4.534329825357587e-06,0.770889943228907,5.82e+16,0.274,22.1,1.09e+18,2e+43,18900.0,255.0,2.04,0.0,0.0,6.324555320336759e+43,0.0,0,1.0
S5 1053+70,3FGL J2036.8-2830,CGRABS J1056+7011,FSRQ,70.2018966674805,164.207595825195,2.49,9.648520697680409e-12,3.0199517204019943e+46,5.461649319196928e+17,0.0,0.0,6.767259530695405e-17,0.0,0.0,3.3400117816493215e-06,2.57392342417162,1.65e+17,0.515,24.8,1.78e+18,4.84e+42,88900.0,21.0,2.4,0.0,0.0,8.009314763724997e+43,0.0,0,1.0
S5 2007+77,3FGL J2036.8-2830,CGRABS J2005+7752,LBL,77.8828964233398,301.393005371094,0.34,2.5084869945124498e-11,3.4673685045253094e+44,5.862787404787663e+16,0.0,0.0,4.65400307956344e-17,0.0,0.0,1.9614635963541346e-06,0.913214634360475,2.66e+16,0.153,13.7,0.0,4.22e+42,15300.0,78.1,1.95,0.0,0.0,2.0550029561999426e+43,0.0,0,1.0
PMN J2036-2830,3FGL J2036.8-2830,CGRABS J2036-2830,FSRQ,28.50528,309.22208,2.31,6.7799017e-12,6.760829753919791e+45,2.591969168432441e+17,0.0,0.0,4.620684577496393e-17,0.0,0.0,2.01048788850247e-06,0.8212531722322758,1.4e+17,0.44,20.4,8.45e+17,1.09e+42,6460000.0,902.0,2.48,0.0,0.0,2.0829387427177795e+44,0.0,0,1.0
