Association,Fermi Name,CGRABS Name,Class,dec,RA,Redshift,Fermi-LAT Flux,Disk Luminosity,BLR Radius,Muon Neutrino Flux Best Fit,Muon Neutrino Flux Min,Muon Neutrino Flux Max,IceCube Event Rate Best Fit,IceCube Event Rate Min,IceCube Event Rate Max,Neutrino Peak Energy Best Fit,Blob Radius Best Fit,B-Field Best Fit,Bulk Lorentz Best Fit,Dissipation Radius Best Fit,Electron Luminosity Best Fit,Electron Max Lorentz Factor Best Fit,Electron Min Lorentz Factor Best Fit,Electron Spectral Index Best Fit,Proton Luminosity Best Fit,Proton Luminosity Min,Proton Luminosity Max,Proton Max Lorentz Factor Best Fit,Proton Min Lorentz Factor Fixed,Proton Spectral Index Fixed
S5 0716+71,3FGL J2036.8-2830,CGRABS J0721+7120,IBL,71.3404998779297,110.48819732666,0.13,2.17562065585319e-10,3.0902954325136046e+44,5.554219646640944e+16,0.0,0.0,3.749195528686449e-14,0.0,0.0,0.0012017208005339578,1.2263933368438256,1.96e+16,0.324,10.4,0.0,6.02e+42,67100.0,13.5,2.13,0.0,0.0,7.470445319725351e+44,0.0,0,1.0
SBS 0846+513,3FGL J2036.8-2830,CGRABS J0849+5108,NLS1,51.1413993835449,132.512603759766,0.58,2.1696516111502397e-11,5.6234132519034906e+44,7.405626195521259e+16,0.0,0.0,3.5013135031752047e-14,0.0,0.0,0.002394922963543146,0.39516382676710826,2.81e+16,0.169,6.99,0.0,3.13e+43,28700.0,57.2,1.73,0.0,0.0,2.522286047693437e+46,0.0,0,1.0
S3 2150+17,3FGL J2036.8-2830,CGRABS J2152+1734,IBL,17.6173000335693,328.136993408203,0.87,1.6231732754765099e-12,2.5118864315095717e+44,4.9370841303475064e+16,0.0,0.0,3.261222750867555e-14,0.0,0.0,0.001904016912193517,0.5158687766292515,6.92e+16,0.164,10.8,0.0,1.24e+43,73500.0,727.0,2.55,0.0,0.0,6.973032432360329e+46,0.0,0,1.0
PKS 1244-255,3FGL J2036.8-2830,CGRABS J1246-2547,FSRQ,-25.8017997741699,191.688705444336,0.64,7.993471856648779e-11,7.943282347242789e+45,2.807966599135144e+17,0.0,0.0,3.2561890243606555e-14,0.0,0.0,0.0005448918989632425,1.7794064204311761,2.61e+16,0.656,21.9,4.73e+17,2.16e+42,41800.0,132.0,2.64,0.0,0.0,1.1303260877120287e+44,0.0,0,1.0
B2 1215+30,3FGL J2036.8-2830,CGRABS J1217+3007,HBL,30.1177005767822,184.476196289063,0.13,8.849630056539939e-11,1.4125375446227497e+44,3.7028130977606296e+16,0.0,0.0,3.255512180807088e-14,0.0,0.0,0.0009835322843616643,1.116880511780121,4.22e+16,0.1,8.57,0.0,6.51e+42,179000.0,10.9,2.1,0.0,0.0,2.5546475327734333e+45,0.0,0,1.0
PKS 0235+164,3FGL J2036.8-2830,CGRABS J0238+1636,IBL,16.6179008483887,39.6679992675781,0.94,1.05665608207683e-10,1e+45,9.874168260695013e+16,0.0,0.0,2.9280214105903745e-14,0.0,0.0,0.0017284181068199002,0.4862797420881758,2.05e+17,0.044,12.9,0.0,8.47e+43,69100.0,634.0,2.25,0.0,0.0,2.6784491781626175e+46,0.0,0,1.0
GB6 J0814+6431,3FGL J2036.8-2830,CGRABS J0814+6431,IBL,64.504997253418,123.665397644043,0.24,1.9677247678484597e-11,1.096478196143183e+44,3.3942453396139104e+16,0.0,0.0,2.8575855033023464e-14,0.0,0.0,0.0015953939677908495,0.6187573528252255,3.39e+16,0.447,5.21,0.0,9.67e+42,29700.0,103.0,1.63,0.0,0.0,1.489108950699529e+46,0.0,0,1.0
GB2 1217+348,3FGL J2036.8-2830,CGRABS J1220+3431,IBL,34.5382995605469,185.046203613281,0.18,5.61113308594763e-12,1e+44,3.085677581467191e+16,0.0,0.0,2.809052138768903e-14,0.0,0.0,0.0014856459032404048,0.721356859229148,4.01e+16,0.202,5.78,0.0,4e+42,46900.0,139.0,2.09,0.0,0.0,3.2233687510459267e+46,0.0,0,1.0
OQ 530,3FGL J2036.8-2830,CGRABS J1419+5423,LBL,54.393699645996094,214.955001831055,0.15,1.67638750103727e-11,3.388441561392034e+43,1.8514065488803148e+16,0.0,0.0,2.768010594193499e-14,0.0,0.0,0.00167422601222823,0.5422791406826828,4.35e+16,0.781,4.68,0.0,1.03e+43,13800.0,59.1,1.37,0.0,0.0,9.584892021575901e+45,0.0,0,1.0
PKS 0116-219,3FGL J2036.8-2830,CGRABS J0118-2141,FSRQ,-21.6947994232178,19.7254009246826,1.17,3.1511463577382796e-11,7.943282347242789e+45,2.807966599135144e+17,0.0,0.0,2.743973475275876e-14,0.0,0.0,0.0008124739176319766,1.0654774268556118,3.78e+16,0.341,15.7,4.47e+17,9.35e+42,14600.0,25.0,1.89,0.0,0.0,1.0797211556846435e+45,0.0,0,1.0
