Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
13086956521.739132,1.2386442074926851e-23,1.2376773217270863e-31,1.6521886140479115e-23
14463323753.946522,1.512882771666712e-23,1.5117018489838157e-31,2.0179868085092438e-23
15984444791.574398,1.8478382538484753e-23,1.8463959189926236e-31,2.4647733842837315e-23
17665543525.233784,2.256953448357726e-23,2.2551918421918107e-31,3.0104792583469514e-23
19523444956.087933,2.756647382319589e-23,2.754495842723009e-31,3.677005249313934e-23
21576743586.119072,3.3669742461002376e-23,3.3643464762576965e-31,4.4911010032772205e-23
23845989518.154057,4.112428206265114e-23,4.1092188172094195e-31,5.485438507432193e-23
26353894128.20059,5.022926397114531e-23,5.019006686490647e-31,6.699923270043304e-23
29125557368.531864,6.135009536114735e-23,6.13022233479099e-31,8.183295781422403e-23
32188718976.445305,7.493308340166503e-23,7.487461721355468e-31,9.995087517343122e-23
35574036102.877075,9.152334583759137e-23,9.145194184301187e-31,1.2208009970707498e-22
39315390139.47289,1.1178668664192235e-22,1.1169948312877676e-30,1.4910872569587498e-22
43450225814.94353,1.3653631445287734e-22,1.364298172647217e-30,1.8212146556343792e-22
48019925954.49534,1.6676547576846086e-22,1.6663541876648768e-30,2.2244317813665923e-22
53070225653.05424,2.0368731210897778e-22,2.0352848694963285e-30,2.716920326728409e-22
58651670007.46772,2.4878354007932056e-22,2.4858958860488574e-30,3.3184444139371537e-22
64820119988.82304,3.038639068104565e-22,3.036270679188429e-30,4.0531436483600807e-22
71637311517.8212,3.711388028164542e-22,3.708496040731831e-30,4.9505016722808435e-22
79171473338.62161,4.533079550905235e-22,4.529548366904532e-30,6.046529207214179e-22
87498009875.04611,5.536687422892961e-22,5.5323759921930955e-30,7.385208823898379e-22
96700255903.39679,6.762484895318758e-22,6.757221139303406e-30,9.020259565662522e-22
106870310594.9071,8.259660321165819e-22,8.253234350096667e-30,1.1017291971679052e-21
118109959275.2031,1.0088290430124287e-21,1.0080446291066666e-29,1.345644013487648e-21
130531692126.05357,1.2321750113983458e-21,1.2312175767033588e-29,1.6435575990357287e-21
144259830024.9184,1.5049654550021464e-21,1.5037969743651425e-29,2.0074233634345664e-21
159431768790.0759,1.8381447043300446e-21,1.8367188927519175e-29,2.4518394794867616e-21
