Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,1.02e-15,7.67e-17,0.0
1.5880962566078716e-06,1.1482e-15,0.0,0.0
3.4863675633344683e-06,3.2455e-15,0.0,0.0
5.7072209221845385e-06,9.24e-15,5.52e-16,0.0
5.7899342688828654e-06,5.04e-15,0.0,0.0
5.7899342688828654e-06,5.236e-15,0.0,0.0
5.7899342688828654e-06,5.4e-15,1.62e-16,0.0
5.7899342688828654e-06,4.19e-15,0.0,0.0
5.7899342688828654e-06,5.08e-15,0.0,0.0
5.7899342688828654e-06,5.39e-15,1.078e-15,0.0
5.7899342688828654e-06,5.39e-15,1.078e-15,0.0
5.7899342688828654e-06,5.39e-15,1.078e-15,0.0
5.7899342688828654e-06,5.39e-15,1.078e-15,0.0
5.7899342688828654e-06,5.39e-15,1.078e-15,0.0
5.7899342688828654e-06,4.186e-15,0.0,0.0
5.7899342688828654e-06,5.39e-15,1.68e-16,0.0
5.7899342688828654e-06,5.39e-15,0.0,0.0
5.7899342688828654e-06,5.39e-15,1.078e-15,0.0
5.7899342688828654e-06,5.4024e-15,1.6217e-16,0.0
6.05461697831751e-06,6.2952e-15,0.0,0.0
6.058752645652427e-06,6.2995e-15,1.2599e-15,0.0
6.199365335039582e-06,5.6063e-15,0.0,0.0
6.203501002374499e-06,6.45e-15,0.0,0.0
6.203501002374499e-06,6.45e-15,0.0,0.0
9.512034870307564e-06,9.89e-15,8.05e-16,0.0
9.512034870307564e-06,8.74e-15,0.0,0.0
9.512034870307564e-06,8.51e-15,0.0,0.0
9.512034870307564e-06,1.127e-14,0.0,0.0
9.512034870307564e-06,6.21e-15,0.0,0.0
1.1269693487647006e-05,1.0357e-14,0.0,0.0
1.2407002004748997e-05,1.35e-14,0.0,0.0
1.2407002004748997e-05,1.245e-14,0.0,0.0
1.8941356393916803e-05,2.98e-14,1.38e-15,0.0
1.9851203207598396e-05,2.69e-14,0.0,0.0
1.9851203207598396e-05,2.1936e-14,8.64e-16,0.0
1.9851203207598396e-05,2.88e-14,1.056e-15,0.0
1.9975273227645886e-05,9.18e-15,0.0,0.0
2.0057986574344214e-05,2.4197e-14,1.94e-17,0.0
2.0057986574344214e-05,1.4744e-14,1.3095e-15,0.0
2.0057986574344214e-05,1.26e-14,1.7e-15,0.0
2.0057986574344214e-05,1.24e-14,1.86e-15,0.0
2.0202734931066285e-05,3.4195e-14,0.0,0.0
2.0202734931066285e-05,3.4195e-14,6.839e-15,0.0
2.0202734931066285e-05,3.4195e-14,6.839e-15,0.0
2.0202734931066285e-05,1.485e-14,2.9799e-15,0.0
2.0202734931066285e-05,3.4195e-14,6.839e-15,0.0
2.0202734931066285e-05,1.485e-14,2.9799e-15,0.0
2.0202734931066285e-05,3.4195e-14,6.839e-15,0.0
2.0202734931066285e-05,1.485e-14,2.9799e-15,0.0
2.0202734931066285e-05,3.4195e-14,6.839e-15,0.0
2.0202734931066285e-05,1.485e-14,2.9799e-15,0.0
2.0202734931066285e-05,1.485e-14,2.9799e-15,0.0
2.0223413267740866e-05,3.42e-14,0.0,0.0
2.067833667458166e-05,3.5e-14,0.0,0.0
2.067833667458166e-05,3.9e-14,0.0,0.0
2.067833667458166e-05,1.635e-14,0.0,0.0
2.067833667458166e-05,1.275e-14,0.0,0.0
2.067833667458166e-05,3.9e-14,0.0,0.0
2.067833667458166e-05,3.9e-14,0.0,0.0
