Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
6.916728578206659e-06,3.304751279757656e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.483912504415755e-22,1.2313585888131459e-18,3.304751279757656e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.304751279757656e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.644167272856706e-06,1.8838856135540043e-17,1.8738570806399516e-17,0.0,1.032451265416836e-30,0.0,1.3692215150924328e-20,0.0,1.1047395242856938e-35,0.0,7.264247740525417e-32,0.0,9.26038734583193e-63,8.483912504415755e-22,1.2313585888131459e-18,1.880992329193309e-17,1.8706613751037342e-17,0.0,1.3766417582215202e-22,0.0,1.5113261203526173e-20,0.0,1.7772040381337032e-27,0.0,9.66638792211632e-24,0.0,1.2883331785987806e-54,1.8838856135540043e-17,1.8738570806399516e-17,0.0,1.032451265416836e-30,0.0,1.3692215150924328e-20,0.0,1.1047395242856938e-35,0.0,7.264247740525417e-32,0.0,9.26038734583193e-63
8.448111362866878e-06,2.5259837761791776e-17,2.5130543913831947e-17,0.0,1.3808827742703105e-30,0.0,1.7062026897317076e-20,0.0,1.4738213453800966e-35,0.0,9.448582125677618e-32,0.0,1.3267804025588924e-62,8.483912504415755e-22,1.2313585888131459e-18,2.5223569510074814e-17,2.5090380370912944e-17,0.0,1.8414285604896708e-22,0.0,1.8899631792732622e-20,0.0,2.3711961183263e-27,0.0,1.257441180750507e-23,0.0,1.846043956308983e-54,2.5259837761791776e-17,2.5130543913831947e-17,0.0,1.3808827742703105e-30,0.0,1.7062026897317076e-20,0.0,1.4738213453800966e-35,0.0,9.448582125677618e-32,0.0,1.3267804025588924e-62
9.336606990904878e-06,3.380612726029746e-17,3.36393519805967e-17,0.0,1.8423428550423137e-30,0.0,2.1219373999379795e-20,0.0,1.9604925261078126e-35,0.0,1.226149201553156e-31,0.0,1.8968344511158862e-62,8.483912504415755e-22,1.2313585888131459e-18,3.376082953338091e-17,3.358904810832211e-17,0.0,2.457045869733582e-22,0.0,2.358884294275093e-20,0.0,3.1545073750080312e-27,0.0,1.6319618064790627e-23,0.0,2.639453688801527e-54,3.380612726029746e-17,3.36393519805967e-17,0.0,1.8423428550423137e-30,0.0,2.1219373999379795e-20,0.0,1.9604925261078126e-35,0.0,1.226149201553156e-31,0.0,1.8968344511158862e-62
1.0318546519849868e-05,4.515056321393906e-17,4.493549556736244e-17,0.0,2.4512051464607497e-30,0.0,2.6329644882846678e-20,0.0,2.599338878809422e-35,0.0,1.5873821075473061e-31,0.0,2.705253879178558e-62,8.483912504415755e-22,1.2313585888131459e-18,4.509422710889292e-17,4.487274249841632e-17,0.0,3.269380535244508e-22,0.0,2.93752567777125e-20,0.0,4.182847416378586e-27,0.0,2.1129643697973883e-23,0.0,3.764715462795323e-54,4.515056321393906e-17,4.493549556736244e-17,0.0,2.4512051464607497e-30,0.0,2.6329644882846678e-20,0.0,2.599338878809422e-35,0.0,1.5873821075473061e-31,0.0,2.705253879178558e-62
1.1403757530548775e-05,6.016316943748993e-17,5.988615995250443e-17,0.0,3.251085910966115e-30,0.0,3.2584173741182077e-20,0.0,3.4336281597114086e-35,0.0,2.0498552754985012e-31,0.0,3.847681491136771e-62,8.483912504415755e-22,1.2313585888131459e-18,6.009345171046244e-17,5.980824231677669e-17,0.0,4.336663344574762e-22,0.0,3.648508864894541e-20,0.0,5.525923401158052e-27,0.0,2.7288302765530355e-23,0.0,5.355017309263925e-54,6.016316943748993e-17,5.988615995250443e-17,0.0,3.251085910966115e-30,0.0,3.2584173741182077e-20,0.0,3.4336281597114086e-35,0.0,2.0498552754985012e-31,0.0,3.847681491136771e-62
1.2603101179548643e-05,7.996063213222791e-17,7.960607508914702e-17,0.0,4.296468423176384e-30,0.0,4.0197940852763985e-20,0.0,4.516284700276882e-35,0.0,2.63996447264508e-31,0.0,5.45546367433676e-62,8.483912504415755e-22,1.2313585888131459e-18,7.98748572346182e-17,7.95098690143756e-17,0.0,5.731640366551902e-22,0.0,4.517430981355178e-20,0.0,7.269019073483885e-27,0.0,3.514737840025174e-23,0.0,7.59328011606584e-54,7.996063213222791e-17,7.960607508914702e-17,0.0,4.296468423176384e-30,0.0,4.0197940852763985e-20,0.0,4.516284700276882e-35,0.0,2.63996447264508e-31,0.0,5.45546367433676e-62
1.392858090120207e-05,1.0596369971459226e-16,1.0550928143799035e-16,0.0,5.65546936205078e-30,0.0,4.941640947930449e-20,0.0,5.913020277018812e-35,0.0,3.3898572955109895e-31,0.0,7.707900732679729e-62,8.483912504415755e-22,1.2313585888131459e-18,1.0585889815088141e-16,1.0539125574925699e-16,0.0,7.5452704338966215e-22,0.0,5.573720013664081e-20,0.0,9.518054584774561e-27,0.0,4.5135345059246187e-23,0.0,1.072923174364073e-53,1.0596369971459226e-16,1.0550928143799035e-16,0.0,5.65546936205078e-30,0.0,4.941640947930449e-20,0.0,5.913020277018812e-35,0.0,3.3898572955109895e-31,0.0,7.707900732679729e-62
1.539346254207239e-05,1.3996087433864956e-16,1.393815178250984e-16,0.0,7.410262647146791e-30,0.0,6.049647445353849e-20,0.0,7.700670215084714e-35,0.0,4.33863224863261e-31,0.0,1.0846249070018592e-61,8.483912504415755e-22,1.2313585888131459e-18,1.3983387837577355e-16,1.3923784379381022e-16,0.0,9.88729510841591e-22,0.0,6.848504876044292e-20,0.0,1.2396921664145348e-26,0.0,5.777340260138807e-23,0.0,1.509892167144696e-53,1.3996087433864956e-16,1.393815178250984e-16,0.0,7.410262647146791e-30,0.0,6.049647445353849e-20,0.0,7.700670215084714e-35,0.0,4.33863224863261e-31,0.0,1.0846249070018592e-61
1.7012407129985262e-05,1.8417396020407274e-16,1.8344103017815856e-16,0.0,9.659210358470879e-30,0.0,7.370614107551941e-20,0.0,9.969437195677547e-35,0.0,5.532825466824653e-31,0.0,1.5191725358816397e-61,8.483912504415755e-22,1.2313585888131459e-18,1.840215849439543e-16,1.8326774950934173e-16,0.0,1.2889088646047206e-21,0.0,8.374646744893768e-20,0.0,1.605112166447425e-26,0.0,7.368198073319722e-23,0.0,2.1149825377714127e-53,1.8417396020407274e-16,1.8344103017815856e-16,0.0,9.659210358470879e-30,0.0,7.370614107551941e-20,0.0,9.969437195677547e-35,0.0,5.532825466824653e-31,0.0,1.5191725358816397e-61
